
[00:00:00.000 --> 00:00:01.400]   Message publicitaire.
[00:00:01.400 --> 00:00:10.220]   Le médicament Dafflon 500 mg, indiqué pour soulager les jambes lourdes et douloureuses dues à l'insuffisance veineuse, agit en renforçant le tonus veineux et en protégeant les vaisseaux sanguins.
[00:00:10.220 --> 00:00:18.720]   Son efficacité a été cliniquement démontrée dans le traitement des troubles de la circulation veineuse, jambes lourdes, douleurs, impatience, en complément des mesures hygiéno-diététiques.
[00:00:18.720 --> 00:00:20.340]   Rendez-vous sur daflon.fr.
[00:00:20.340 --> 00:00:26.240]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:00:26.240 --> 00:00:30.060]   Tout médicament peut exposer à des risques. Parlez-en à votre pharmacien et lisez attentivement la notice.
[00:00:30.060 --> 00:00:32.300]   Si les symptômes persistent, consultez votre médecin.
[00:00:56.240 --> 00:01:26.220]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:01:26.220 --> 00:01:56.200]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:01:56.200 --> 00:02:26.180]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:02:26.180 --> 00:02:56.160]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:02:56.160 --> 00:03:26.140]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:03:26.140 --> 00:03:56.120]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:03:56.120 --> 00:04:26.100]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:04:26.100 --> 00:04:56.080]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:04:56.080 --> 00:05:26.060]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:05:26.060 --> 00:05:56.040]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:05:56.040 --> 00:06:26.020]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:06:26.020 --> 00:06:56.000]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:06:56.000 --> 00:07:25.980]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:07:25.980 --> 00:07:55.960]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:07:55.960 --> 00:08:25.940]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:08:25.940 --> 00:08:55.920]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:08:55.920 --> 00:09:25.900]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:09:25.900 --> 00:09:55.880]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:09:55.880 --> 00:10:25.860]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:10:25.860 --> 00:10:55.840]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:10:55.840 --> 00:11:25.800]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:11:25.800 --> 00:11:25.800]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:11:25.800 --> 00:11:25.820]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:11:25.820 --> 00:11:55.800]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:11:55.800 --> 00:12:25.780]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:12:25.780 --> 00:12:55.760]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:12:55.760 --> 00:13:25.740]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
